row_id,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
30,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
31,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
32,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
33,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
34,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
35,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
36,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
37,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
38,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
39,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
40,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
41,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
42,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
43,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
44,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
45,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
46,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
47,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
48,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
49,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1
50,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
51,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
52,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
53,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0
54,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1
55,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
56,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
57,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
58,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
59,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
60,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
61,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
62,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
63,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
64,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
65,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
66,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
67,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
68,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
69,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
70,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
71,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
72,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
73,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0
74,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
75,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
76,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
77,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
78,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
79,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
80,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
81,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
82,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
84,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
85,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
86,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0
87,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
88,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
89,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
90,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0
91,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
92,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
93,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
94,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
95,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
96,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
97,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
98,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
99,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
100,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
101,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
